,link
80,https://caodang.fpt.edu.vn/tin-tuc-poly/tp-ho-chi-minh-tin-sinh-vien/fpt-35-nam-dau-chan-hanh-phuc-kien-tao-gia-tri-y-nghia-vi-cong-dong.html
81,https://caodang.fpt.edu.vn/tin-tuc-poly/ha-noi-tin-sinh-vien/28-05-2023-ha-noi-le-tot-nghiep-cua-sinh-vien-fpt-polytechnic-ha-noi.html
82,https://caodang.fpt.edu.vn/tin-tuc-poly/ha-noi-tin-sinh-vien/huong-dan-cai-dat-moi-truong-va-chay-thu-du-an-react-native-voi-expo-tool.html
83,https://caodang.fpt.edu.vn/tin-tuc-poly/tp-ho-chi-minh-tin-sinh-vien/cung-si-tu-2k5-dot-nhap-fpt-polytechnic-hcm-co-gi-vui.html
84,https://caodang.fpt.edu.vn/tin-tuc-poly/tp-ho-chi-minh-tin-sinh-vien/26-05-2023-tp-hcm-talkshow-true-insight-right-customer.html
85,https://caodang.fpt.edu.vn/tin-tuc-poly/tp-ho-chi-minh-tin-sinh-vien/18-05-2023-tp-hcm-tham-quan-cong-ty-tnhh-bpo-mat-bao.html
86,https://caodang.fpt.edu.vn/tin-tuc-poly/blog/logistics-la-gi-hoc-logistics-ra-truong-lam-gi.html
87,https://caodang.fpt.edu.vn/tin-tuc-poly/nhung-man-so-tai-kich-tinh-tai-vong-loai-co-so-can-tho-cuoc-thi-thiet-ke-va-che-tao-tau-ngam-co-dieu-khien.html
88,https://caodang.fpt.edu.vn/tin-tuc-poly/tieng-anh-thuc-su-co-kho-hoc-noi-long-cua-nhieu-sinh-vien.html
89,https://caodang.fpt.edu.vn/tin-tuc-poly/17-5-hcm-company-tour-sinh-vien-nganh-ung-dung-phan-mem-tham-quan-hitachi-vantara-viet-nam.html
90,https://caodang.fpt.edu.vn/tin-tuc-poly/nhung-dau-an-noi-bat-trong-hoat-dong-phong-trao-cua-sinh-vien-fpt-polytechnic-hoc-ky-spring-2023.html
91,https://caodang.fpt.edu.vn/tin-tuc-poly/diem-qua-loat-clb-cua-cong-dong-sinh-vien-fpt-polytechnic-hcm.html
92,https://caodang.fpt.edu.vn/tin-tuc-poly/ha-noi-tin-sinh-vien/trai-nghiem-kho-quen-tai-lg-display-viet-nam-cua-sinh-vien-fpt-polytechnic-ha-noi.html
93,https://caodang.fpt.edu.vn/tin-tuc-poly/workshop-quan-ly-du-an-voi-gif-va-jira-trong-doanh-nghiep-danh-rieng-cho-sinh-vien-cntt-fpt-polytechnic-hcm.html
94,https://caodang.fpt.edu.vn/tin-tuc-poly/soi-noi-kich-tinh-o-vong-loai-cuoc-thi-thiet-ke-va-che-tao-tau-ngam-co-dieu-khien-co-so-fpt-polytechnic-hn.html
95,https://caodang.fpt.edu.vn/tin-tuc-poly/ha-noi-tin-sinh-vien/20-05-2023-ha-noi-talkshow-tang-toc-cung-thoi-dai-vuot-toc-huong-tuong-lai.html
96,https://caodang.fpt.edu.vn/tin-tuc-poly/tp-ho-chi-minh-tin-sinh-vien/khoi-dong-chuoi-company-tour-nganh-thuong-mai-dien-tu-danh-cho-sv-fpt-polytechnic-hcm.html
97,https://caodang.fpt.edu.vn/tin-tuc-poly/quy-nhon/fpt-polytechnic-quy-nhon-va-hanh-trinh-huong-nghiep-cho-cac-si-tu-thpt-tren-dia-ban-tinh-quy-nhon.html
98,https://caodang.fpt.edu.vn/tin-tuc-poly/ha-nam/ha-nam-don-chao-ngoi-truong-trong-mo-fpt-polytechnic-chieu-sinh-vien-so-hai-khong-ai-so-mot.html
99,https://caodang.fpt.edu.vn/tin-tuc-poly/cau-lac-bo-tach-mon-dac-san-cua-bo-mon-tieng-anh.html
100,https://caodang.fpt.edu.vn/tin-tuc-poly/tin-da-nang/gap-go-chang-photographer-xin-cua-nha-fpt-polytechnic-da-nang-truoc-them-le-tot-nghiep.html
101,https://caodang.fpt.edu.vn/tin-tuc-poly/hai-phong-tin-tuc-poly/fpt-polytechnic-hai-phong-va-hanh-trinh-huong-nghiep-cho-cac-si-tu-thpt-tren-dia-ban-tinh-hai-phong.html
102,https://caodang.fpt.edu.vn/tin-tuc-poly/ha-nam/fpt-polytechnic-ha-nam-va-hanh-trinh-huong-nghiep-cho-cac-si-tu-thpt-tren-dia-ban-tinh-ha-nam.html
103,https://caodang.fpt.edu.vn/tin-tuc-poly/thai-nguyen/fpt-polytechnic-thai-nguyen-va-hanh-trinh-huong-nghiep-cho-cac-si-tu-thpt-tren-dia-ban-tinh-thai-nguyen.html
104,https://caodang.fpt.edu.vn/tin-tuc-poly/tin-da-nang/__trashed-47.html
105,https://caodang.fpt.edu.vn/tin-tuc-poly/dong-nai/fpt-polytechnic-dong-nai-va-hanh-trinh-huong-nghiep-cho-cac-si-tu-thpt-tren-dia-ban-tinh-dong-nai.html
106,https://caodang.fpt.edu.vn/tin-noi-bat/31-05-2023-hcm-chung-ket-cuoc-thi-wise-bees.html
107,https://caodang.fpt.edu.vn/tin-tuc-poly/workshop-cosplay-culture-lan-dau-tien-co-mat-tai-fpt-polytechnic-ha-noi.html
108,https://caodang.fpt.edu.vn/tin-tuc-poly/thanh-hoa/fpt-polytechnic-thanh-hoa-va-hanh-trinh-huong-nghiep-cho-cac-si-tu-thpt-tren-dia-ban-tinh-thanh-hoa.html
109,https://caodang.fpt.edu.vn/tin-tuc-poly/tp-ho-chi-minh-tin-sinh-vien/16-05-2023-hcm-trien-lam-sac-mau-hoa-tay.html
110,https://caodang.fpt.edu.vn/tin-tuc-poly/dong-nai/mach-ban-top-7-li-do-nguoi-nguoi-nha-nha-hoc-ngoi-truong-ly-tuong-fpt-polytechnic.html
111,https://caodang.fpt.edu.vn/tin-tuc-poly/tp-ho-chi-minh-tin-sinh-vien/13-05-2023-hcm-trien-lam-cuoc-thi-ky-thuat-nhiep-anh-fpoly-photo-contest-2023.html
112,https://caodang.fpt.edu.vn/tin-tuc-poly/khong-phai-nguoi-ban-ngu-nhung-suy-nghi-bang-tieng-anh-tai-sao-khong.html
113,https://caodang.fpt.edu.vn/tin-tuc-poly/tp-ho-chi-minh-tin-sinh-vien/guong-mat-dai-dien-fpoly-photo-contest-2023-chinh-thuc-lo-dien.html
114,https://caodang.fpt.edu.vn/tin-tuc-poly/quy-nhon/fpt-polytechnic-ngoi-truong-chieu-sinh-vien-bac-nhat-da-co-mat-tai-quy-nhon.html
115,https://caodang.fpt.edu.vn/tin-tuc-poly/hai-phong-tin-tuc-poly/tan-sinh-vien-k19-2-fpt-polytechnic-hai-phong-no-nuc-khoe-sieu-pham-dong-phuc-moi-tai-tuan-le-dinh-huong.html
116,https://caodang.fpt.edu.vn/tin-tuc-poly/7-li-do-2k5-khong-nen-bo-lo-thanh-xuan-tai-ngoi-truong-ly-tuong-fpt-polytechnic.html
117,https://caodang.fpt.edu.vn/tin-tuc-poly/tp-ho-chi-minh-tin-sinh-vien/diem-qua-loat-tac-pham-hut-hon-nguoi-nhin-trong-su-kien-fpoly-photo-contest-2023.html
118,https://caodang.fpt.edu.vn/tin-tuc-poly/bi-kip-cho-mua-thi-lai-tieng-anh.html
119,https://caodang.fpt.edu.vn/tin-tuc-poly/14-5-2023-da-nang-hon-600-tan-cu-nhan-k16-fpt-polytechnic-da-nang-san-sang-cho-le-tot-nghiep-2023.html
120,https://caodang.fpt.edu.vn/tin-tuc-poly/ha-nam/nhin-lai-khong-khi-ron-rang-trong-le-cat-noc-khu-to-hop-giao-duc-fpt-unischool-ha-nam.html
121,https://caodang.fpt.edu.vn/tin-tuc-poly/tin-da-nang/tu-vung-tieng-anh-ve-chu-de-canh-dep-ma-ban-nen-biet.html
